,atributo,importancia
79250,reuters,0.05121400365777732
35426,featured,0.0333324374358008
44039,hillary,0.012066064308040397
93396,thursday,0.010883153803623742
99209,video,0.0106484912583437
100526,watch,0.010417306151944996
95705,tuesday,0.00889581244746684
46333,image,0.006727133832960903
91504,talks,0.005783978298837328
81624,said,0.00509255674611684
