,atributo,importancia
79250,reuters,0.2522088707177936
99117,via,0.10309532457214828
81624,said,0.10259150421441576
65250,news,0.07076502089156833
67097,obama,0.06329625990585311
100526,watch,0.06258831461149716
35426,featured,0.05972326022860234
9726,anyone,0.05563288036989219
18409,campaign,0.04448250719751702
76881,read,0.040952639405949225
