,atributo,importancia
79250,reuters,0.22468737055951116
39382,getty,0.020101784360678807
100853,wednesday,0.017279444362039004
81624,said,0.014296709987064216
93396,thursday,0.008028884176270554
46333,image,0.007426083824628565
99209,video,0.007423264565028062
61508,minister,0.007184948880103589
55838,like,0.0067266013484902475
40483,got,0.005642328173624851
